Admin,Admin,root@gmail.com,Campus12@,M,780000000,0,ADMIN
Lo,ndiaga,londiaga@gmail.com,12345678,M,780000000,1,APPRENANT
NDiaye,baba,baba@gmail.com,password,M,770000000,2,APPRENANT
Diediou,ousseynou,ouz@gmail.com,password,M,760000000,3,APPRENANT
Fall,Astou,astou@gmail.com,password,F,770000000,4,APPRENANT
Diop,Soda,soda@gmail.com,password,F,770000000,4,APPRENANT
Sall,"Abdou",abdou@gmail.com,password,M,770000000,6,APPRENANT
Dieye,lamine,lamine@gmail.com,password,M,770000000,5,APPRENANT
Fall,ousmane,ousmane@gmail.com,password,M,780000000,1,APPRENANT
Gradel,"max",max@gmail.com,password,M,770000000,6,APPRENANT
Diagne,"pape faly",faly@gmail.com,password,M,760000000,6,APPRENANT
Mbow,"bamba",bamba@gmail.com,password,F,770000000,6,APPRENANT
Dia,fatoumata,fatoumata@gmail.com,password,F,770000000,6,APPRENANT
Diouf,"aziz",aziz@gmail.com,password,M,770000000,1,APPRENANT
Gueye,papis,papis@gmail.com,password,M,770000000,5,APPRENANT
NDiaye,baba,baba@gmail.com,password,M,770000000,2,APPRENANT
Diediou,ousseynou,ouz@gmail.com,password,M,760000000,3,APPRENANT
Fall,Astou,astou@gmail.com,password,F,770000000,4,APPRENANT
Diop,Soda,soda@gmail.com,password,F,770000000,4,APPRENANT
Sall,"Abdou",abdou@gmail.com,password,M,770000000,6,APPRENANT
Dieye,lamine,lamine@gmail.com,password,M,770000000,5,APPRENANT
Fall,ousmane,ousmane@gmail.com,password,M,780000000,1,APPRENANT
Gradel,"max",max@gmail.com,password,M,770000000,6,APPRENANT
Diagne,"pape faly",faly@gmail.com,password,M,760000000,6,APPRENANT
Mbow,"bamba",bamba@gmail.com,password,F,770000000,6,APPRENANT
Dia,fatoumata,fatoumata@gmail.com,password,F,770000000,6,APPRENANT
Diouf,"aziz",aziz@gmail.com,password,M,770000000,1,APPRENANT
Gueye,papis,papis@gmail.com,password,M,770000000,5,APPRENANT
NDiaye,baba,baba@gmail.com,password,M,770000000,2,APPRENANT
Diediou,ousseynou,ouz@gmail.com,password,M,760000000,3,APPRENANT
Fall,Astou,astou@gmail.com,password,F,770000000,4,APPRENANT
Diop,Soda,soda@gmail.com,password,F,770000000,4,APPRENANT
Sall,"Abdou",abdou@gmail.com,password,M,770000000,6,APPRENANT
Dieye,lamine,lamine@gmail.com,password,M,770000000,5,APPRENANT
Fall,ousmane,ousmane@gmail.com,password,M,780000000,1,APPRENANT
Gradel,"max",max@gmail.com,password,M,770000000,6,APPRENANT
Diagne,"pape faly",faly@gmail.com,password,M,760000000,6,APPRENANT
Mbow,"bamba",bamba@gmail.com,password,F,770000000,6,APPRENANT
Dia,fatoumata,fatoumata@gmail.com,password,F,770000000,6,APPRENANT
Diouf,"aziz",aziz@gmail.com,password,M,770000000,1,APPRENANT
Gueye,papis,papis@gmail.com,password,M,770000000,5,APPRENANT

